,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
40,C Karunaratne (SL),2021-2022,13,12,5,269,44*,38.42,319,84.32,0,0,0,13,5,
41,JO Holder (WI),2019-2022,21,17,4,267,57,20.53,354,75.42,0,2,1,19,7,
42,L Siaka (PNG),2019-2021,16,16,0,267,41,16.68,378,70.63,0,0,2,20,3,
43,CR Ervine (ZIM),2020-2022,9,8,0,266,91,33.25,370,71.89,0,3,1,30,1,
44,JJ Smit (NAM),2019-2021,9,9,1,265,94,33.12,324,81.79,0,2,0,11,14,
45,CJA Amini (PNG),2019-2021,14,14,0,257,53,18.35,370,69.45,0,1,0,20,0,
46,AK Markram (SA),2021-2022,11,10,1,256,96,28.44,280,91.42,0,1,0,23,9,
47,TP Ura (PNG),2019-2021,15,15,0,255,54,17.0,362,70.44,0,1,1,25,6,
48,JE Root (ENG),2020-2021,9,7,2,253,79*,50.6,332,76.2,0,2,1,16,1,
49,DM Bravo (WI),2020-2022,10,10,1,250,102,27.77,356,70.22,1,0,1,14,9,
0,Hashmatullah Shahidi (AFG),2021-2022,5,5,0,247,82,49.4,339,72.86,0,3,0,14,5,
1,Mohammad Mithun (BAN),2019-2021,13,12,2,247,73*,24.7,317,77.91,0,2,1,22,4,
2,ZE Green (NAM),2019-2021,9,9,0,244,62,27.11,322,75.77,0,1,0,27,3,
3,IG Holland (USA),2019-2020,8,8,0,244,75,30.5,319,76.48,0,2,1,21,2,
4,MR Marsh (AUS),2020-2021,10,10,0,244,73,24.4,313,77.95,0,1,0,19,4,
5,V Aravind (UAE),2019-2022,10,10,0,243,89,24.3,294,82.65,0,1,0,28,6,
6,P Nissanka (SL),2021-2022,12,12,0,232,75,19.33,316,73.41,0,2,1,29,0,
7,Naseem Khushi (OMA),2020-2022,17,13,2,227,42,20.63,196,115.81,0,0,2,13,16,
8,DP Conway (NZ),2021-2021,3,3,0,225,126,75.0,255,88.23,1,1,0,26,0,
9,CA Soper (PNG),2019-2021,14,13,5,222,46*,27.75,363,61.15,0,0,1,12,4,
10,RK Paudel (NEPAL),2020-2021,7,7,1,217,86,36.16,328,66.15,0,2,1,7,6,
11,Basil Hameed (UAE),2019-2022,9,8,1,215,63*,30.71,268,80.22,0,2,1,20,3,
12,Najibullah Zadran (AFG),2019-2022,9,8,1,215,71,30.71,241,89.21,0,2,2,21,6,
13,JM Vince (ENG),2020-2021,6,5,0,215,102,43.0,212,101.41,1,1,0,30,0,
14,NK Patel (USA),2019-2021,14,11,0,212,52,19.27,325,65.23,0,1,0,12,5,
15,CP Rizwan (UAE),2019-2022,8,7,2,212,109,42.4,321,66.04,1,1,0,16,1,
16,MG Erasmus (NAM),2019-2020,7,7,0,210,88,30.0,271,77.49,0,2,1,21,3,
17,XM Marshall (USA),2019-2020,12,12,0,210,50,17.5,348,60.34,0,1,1,19,4,
18,AD Mathews (SL),2019-2021,7,7,1,210,87,35.0,229,91.7,0,2,0,20,1,
19,LRPL Taylor (NZ),2020-2021,5,5,2,205,109*,68.33,196,104.59,1,1,0,18,6,
20,K Gore (USA),2019-2021,15,14,2,204,44,17.0,300,68.0,0,0,1,16,2,
21,LD Chandimal (SL),2021-2022,7,7,0,202,75,28.85,282,71.63,0,2,0,11,3,
22,N Vanua (PNG),2019-2021,14,14,0,199,57,14.21,291,68.38,0,1,1,7,12,
23,SA Yadav (INDIA),2021-2022,5,5,2,197,53,65.66,169,116.56,0,1,0,27,1,
24,MP O'Dowd (NED),2021-2021,6,6,1,194,82,38.8,258,75.19,0,1,0,21,1,
25,GH Dockrell (IRE),2021-2022,12,11,2,193,45,21.44,239,80.75,0,0,0,19,4,
26,Asghar Afghan (AFG),2019-2021,6,6,1,192,86,38.4,244,78.68,0,1,0,9,10,
27,B Bhandari (NEPAL),2020-2021,9,7,0,190,59,27.14,276,68.84,0,1,0,17,3,
28,Aasif Sheikh (NEPAL),2021-2021,6,6,0,189,90,31.5,261,72.41,0,1,0,20,1,
29,PP Shaw (INDIA),2020-2021,6,6,0,189,49,31.5,166,113.85,0,0,0,32,2,
30,BA Stokes (ENG),2021-2021,6,5,0,189,99,37.8,156,121.15,0,1,0,14,13,
31,AL Phehlukwayo (SA),2020-2022,19,12,0,186,54,15.5,231,80.51,0,1,1,12,8,
32,G Toka (PNG),2019-2021,13,12,0,181,29,15.08,306,59.15,0,0,1,15,1,
33,JT Smuts (SA),2020-2021,6,5,1,180,84,45.0,229,78.6,0,1,0,20,1,
34,SN Thakur (INDIA),2019-2022,13,8,4,175,50*,43.75,139,125.89,0,1,0,17,6,
35,Haris Sohail (PAK),2019-2020,3,3,0,167,71,55.66,180,92.77,0,2,0,10,3,
