,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
27,SV Samson (INDIA),2021-2021,1,1,0,46,46,46.00,46,100.0,0,0,0,5,1,
28,Sohaib Maqsood (PAK),2021-2021,3,3,0,46,19,15.33,54,85.18,0,0,0,3,3,
29,Aarif Sheikh (NEPAL),2020-2021,6,4,0,45,28,11.25,90,50.0,0,0,0,2,1,
30,Nurul Hasan (BAN),2021-2021,1,1,1,45,45*,-,39,115.38,0,0,0,6,0,
31,Shaheen Shah Afridi (PAK),2020-2021,9,7,3,45,18*,11.25,79,56.96,0,0,1,4,0,
32,Sarfaraz Ahmed (PAK),2019-2021,3,3,0,44,23,14.66,58,75.86,0,0,0,3,0,
33,BA Carse (ENG),2021-2021,3,2,1,43,31,43.00,52,82.69,0,0,0,3,0,
34,Haider Ali (PAK),2020-2020,2,2,0,42,29,21.00,33,127.27,0,0,0,4,2,
35,Sompal Kami (NEPAL),2021-2021,6,4,1,42,22*,14.00,67,62.68,0,0,0,3,1,
36,Taijul Islam (BAN),2019-2020,5,3,1,42,39*,21.00,38,110.52,0,0,1,5,1,
37,J Theron (USA),2019-2020,9,9,1,42,12,5.25,90,46.66,0,0,3,5,0,
38,Kashif Daud (UAE),2021-2022,4,3,2,41,20,41.00,40,102.5,0,0,0,3,2,
39,KS Williamson (NZ),2020-2020,2,2,0,41,22,20.50,57,71.92,0,0,0,4,0,
40,LM Jongwe (ZIM),2021-2021,6,5,1,40,18,10.00,32,125.0,0,0,1,6,0,
41,K Pierre (WI),2019-2020,3,2,0,39,21,19.50,47,82.97,0,0,0,4,1,
42,MRJ Watt (SCOT),2019-2021,13,6,3,37,15,12.33,67,55.22,0,0,0,3,0,
43,BB Chari (ZIM),2020-2020,3,3,0,36,25,12.00,67,53.73,0,0,0,4,1,
44,MC Henriques (AUS),2020-2021,5,5,1,36,22,9.00,73,49.31,0,0,0,3,0,
45,Musa Ahmed (NED),2021-2022,3,3,0,36,19,12.00,68,52.94,0,0,0,5,0,
46,R Mutumbami (ZIM),2020-2020,3,3,0,36,19,12.00,33,109.09,0,0,1,3,2,
47,R Trumpelmann (NAM),2021-2021,2,2,0,35,22,17.50,60,58.33,0,0,0,2,0,
48,Khushdil Shah (PAK),2020-2020,1,1,0,33,33,33.00,48,68.75,0,0,0,4,0,
49,PADLR Sandakan (SL),2019-2021,11,8,3,33,16*,6.60,53,62.26,0,0,3,3,0,
0,Shubman Gill (INDIA),2020-2020,1,1,0,33,33,33.00,39,84.61,0,0,0,3,1,
1,NP Kenjige (USA),2019-2021,11,7,3,32,13,8.00,56,57.14,0,0,1,1,0,
2,R Ashwin (INDIA),2022-2022,2,2,1,32,25*,32.00,37,86.48,0,0,0,1,1,
3,Fayyaz Butt (OMA),2019-2019,4,2,1,32,32*,32.00,33,96.96,0,0,1,2,0,
4,HN Ya France (NAM),2019-2021,8,7,5,32,11*,16.00,33,96.96,0,0,1,2,1,
5,TA Blundell (NZ),2020-2020,2,2,0,31,22,15.50,35,88.57,0,0,0,4,0,
6,JC Buttler (ENG),2020-2021,6,6,0,29,15,4.83,56,51.78,0,0,1,2,0,
7,CJ Chibhabha (ZIM),2020-2020,4,4,0,29,13,7.25,46,63.04,0,0,1,5,0,
8,SS Cottrell (WI),2019-2021,15,7,5,29,17,14.50,48,60.41,0,0,1,2,2,
9,BHG Gorlee (NED),2022-2022,3,3,0,29,16,9.66,55,52.72,0,0,0,3,0,
10,JP Greaves (WI),2022-2022,3,3,0,29,12,9.66,85,34.11,0,0,0,2,0,
11,CT Mumba (ZIM),2020-2020,5,5,2,29,13,9.66,48,60.41,0,0,0,1,1,
12,B Muzarabani (ZIM),2020-2022,12,9,1,29,17,3.62,53,54.71,0,0,3,2,1,
13,RA Reifer (WI),2021-2021,3,3,0,29,27,9.66,59,49.15,0,0,1,1,0,
14,MJ Santner (NZ),2020-2021,6,3,2,29,14,29.00,26,111.53,0,0,0,2,1,
15,Gulsan Jha (NEPAL),2021-2021,1,1,0,28,28,28.00,53,52.83,0,0,0,2,1,
16,BR McDermott (AUS),2021-2021,2,2,0,28,28,14.00,50,56.0,0,0,1,2,0,
17,Mohammed Shami (INDIA),2019-2020,12,6,3,28,13,9.33,36,77.77,0,0,0,2,1,
18,B Kumar (INDIA),2019-2022,10,4,1,27,19*,9.00,46,58.69,0,0,0,2,0,
19,GF Linde (SA),2021-2021,2,2,1,27,18,27.00,29,93.1,0,0,0,3,0,
20,JJ Bumrah (INDIA),2020-2022,12,6,4,26,14*,13.00,44,59.09,0,0,1,3,0,
21,JH Davey (SCOT),2019-2019,2,2,1,26,26*,26.00,27,96.29,0,0,1,1,1,
22,B Fernando (SL),2021-2021,4,3,0,26,17,8.66,36,72.22,0,0,0,4,0,
23,DJ Hooda (INDIA),2022-2022,1,1,1,26,26*,-,32,81.25,0,0,0,2,0,
24,KA Jamieson (NZ),2020-2021,5,1,1,25,25*,-,24,104.16,0,0,0,1,2,
25,SP Khakurel (NEPAL),2020-2020,3,3,0,25,22,8.33,56,44.64,0,0,1,1,0,
26,PD Macchi (OMA),2021-2021,1,1,0,25,25,25.00,32,78.12,0,0,0,2,0,
27,KY Ottley (WI),2021-2021,2,2,0,25,24,12.50,52,48.07,0,0,0,2,1,
28,SK Atai (PNG),2019-2019,1,1,0,24,24,24.00,57,42.1,0,0,0,2,0,
29,PRP Boissevain (NED),2021-2022,4,4,0,24,13,6.00,44,54.54,0,0,0,0,0,
30,VR Iyer (INDIA),2022-2022,2,2,0,24,22,12.00,40,60.0,0,0,0,0,1,
31,Mahedi Hasan (BAN),2021-2021,3,3,0,24,14,8.00,33,72.72,0,0,0,1,2,
32,JA Richardson (AUS),2020-2020,1,1,1,24,24*,-,20,120.0,0,0,0,3,0,
33,KW Richardson (AUS),2020-2020,3,2,2,24,24*,-,12,200.0,0,0,0,4,1,
34,Usman Ghani (AFG),2022-2022,2,2,0,24,24,12.00,58,41.37,0,0,1,2,0,
35,S Bhari (NEPAL),2020-2021,9,5,3,23,11,11.50,51,45.09,0,0,0,2,0,
36,JA McCollum (IRE),2020-2021,2,2,0,23,20,11.50,40,57.5,0,0,0,4,0,
37,TK Patel (USA),2019-2020,6,6,2,22,16,5.50,75,29.33,0,0,0,0,0,
38,Asif Ali (PAK),2021-2021,2,2,0,21,19,10.50,34,61.76,0,0,0,2,0,
39,Bilal Khan (OMA),2019-2022,21,9,5,21,9,5.25,28,75.0,0,0,2,1,1,
40,N Dhamba (OMA),2021-2022,5,3,1,21,11,10.50,32,65.62,0,0,1,2,0,
41,BOP Fernando (SL),2019-2021,3,3,0,21,18,7.00,41,51.21,0,0,0,0,1,
42,BD Glover (NED),2021-2022,5,4,3,21,18,21.00,35,60.0,0,0,0,2,0,
43,C Green (AUS),2020-2020,1,1,0,21,21,21.00,27,77.77,0,0,0,1,1,
44,T Marumani (ZIM),2021-2021,3,3,0,21,13,7.00,41,51.21,0,0,1,2,1,
45,Mustafizur Rahman (BAN),2019-2021,14,6,4,21,18,10.50,22,95.45,0,0,1,3,0,
46,Naveen-ul-Haq (AFG),2019-2021,5,4,3,21,10*,21.00,28,75.0,0,0,0,3,0,
47,R Ngarava (ZIM),2020-2022,11,7,4,21,10*,7.00,42,50.0,0,0,2,2,1,
48,S Mahmood (ENG),2020-2021,7,2,0,20,12,10.00,31,64.51,0,0,0,2,0,
49,KP Meiyappan (UAE),2019-2021,6,3,0,20,12,6.66,37,54.05,0,0,1,1,0,
0,D Pretorius (SA),2022-2022,1,1,0,20,20,20.00,25,80.0,0,0,0,3,0,
1,JA Simpson (ENG),2021-2021,3,2,0,20,17,10.00,31,64.51,0,0,0,2,0,
2,Taskin Ahmed (BAN),2021-2021,10,4,0,20,10,5.00,59,33.89,0,0,1,3,0,
3,Mujeeb Ur Rahman (AFG),2019-2022,9,4,3,19,18*,19.00,23,82.6,0,0,1,2,0,
4,Aamir Kaleem (OMA),2019-2022,3,2,0,18,13,9.00,24,75.0,0,0,0,2,0,
5,AV Lalcheta (OMA),2019-2019,2,2,0,18,12,9.00,47,38.29,0,0,0,1,0,
6,C Overton (ENG),2021-2021,3,2,1,18,18*,18.00,18,100.0,0,0,1,1,0,
7,Azmatullah Omarzai (AFG),2021-2022,2,2,1,17,15*,17.00,25,68.0,0,0,0,2,0,
8,DM Dupavillon (SA),2020-2021,2,1,0,17,17,17.00,10,170.0,0,0,0,2,1,
9,JR Hazlewood (AUS),2020-2021,12,6,5,17,7*,17.00,25,68.0,0,0,0,0,0,
10,Jasdeep Singh (USA),2019-2021,5,3,0,17,11,5.66,41,41.46,0,0,1,0,0,
11,Kuldeep Yadav (INDIA),2019-2021,14,1,0,17,17,17.00,15,113.33,0,0,0,2,0,
12,CR Brathwaite (WI),2019-2019,3,2,0,16,16,8.00,17,94.11,0,0,1,1,1,
13,YS Chahal (INDIA),2019-2022,11,3,1,16,10,8.00,24,66.66,0,0,0,1,0,
14,TL Chatara (ZIM),2021-2022,6,5,4,16,8*,16.00,43,37.2,0,0,0,1,0,
15,BN Cooper (NED),2021-2021,5,5,1,16,10,4.00,23,69.56,0,0,2,1,0,
16,JB Little (IRE),2020-2022,15,6,2,16,9*,4.00,27,59.25,0,0,1,2,0,
17,JN Loftie-Eaton (NAM),2021-2021,1,1,0,16,16,16.00,25,64.0,0,0,0,0,0,
18,MA Wood (ENG),2020-2021,6,2,1,16,14,16.00,28,57.14,0,0,0,1,0,
19,AM McCarthy (WI),2021-2021,2,2,0,15,12,7.50,41,36.58,0,0,0,1,0,
20,Mohammad Hasnain (PAK),2020-2021,3,2,2,15,12*,-,8,187.5,0,0,0,3,0,
21,AA Paradkar (USA),2021-2021,2,2,1,15,13*,15.00,15,100.0,0,0,0,0,1,
22,BM Scholtz (NAM),2019-2021,9,6,4,15,6,7.50,48,31.25,0,0,0,1,0,
23,M Theekshana (SL),2021-2022,4,3,3,15,10*,-,32,46.87,0,0,0,0,0,
24,Anamul Haque (BAN),2019-2019,1,1,0,14,14,14.00,24,58.33,0,0,0,2,0,
25,JC Archer (ENG),2020-2020,3,2,2,14,8*,-,12,116.66,0,0,0,1,0,
26,J Da Silva (WI),2021-2021,2,2,0,14,9,7.00,35,40.0,0,0,0,1,0,
27,WP Masakadza (ZIM),2021-2022,6,4,1,14,7*,4.66,26,53.84,0,0,1,1,0,
28,WB Rankin (IRE),2020-2020,2,2,2,14,10*,-,41,34.14,0,0,0,1,0,
29,L Sipamla (SA),2020-2021,5,2,2,14,10*,-,19,73.68,0,0,0,0,0,
30,IS Sodhi (NZ),2020-2020,2,1,1,14,14*,-,16,87.5,0,0,0,1,0,
31,A Bohara (NEPAL),2020-2020,2,2,2,13,8*,-,14,92.85,0,0,0,0,0,
32,RD Chahar (INDIA),2021-2021,1,1,0,13,13,13.00,25,52.0,0,0,0,0,0,
33,A Dutt (NED),2021-2022,3,3,1,13,8*,6.50,28,46.42,0,0,0,0,0,
34,SP Krishnamurthi (USA),2021-2021,3,3,0,13,13,4.33,24,54.16,0,0,2,0,1,
35,GT Main (SCOT),2019-2021,5,1,1,13,13*,-,11,118.18,0,0,0,0,0,
36,AK Perera (SL),2019-2019,1,1,0,13,13,13.00,25,52.0,0,0,0,0,0,
37,Sharafuddin Ashraf (AFG),2019-2022,4,2,1,13,13,13.00,16,81.25,0,0,0,1,0,
38,TS Chisoro (ZIM),2020-2020,3,2,0,12,7,6.00,16,75.0,0,0,0,1,0,
39,Danish Aziz (PAK),2021-2021,2,2,0,12,9,6.00,20,60.0,0,0,0,2,0,
40,Rubel Hossain (BAN),2019-2021,5,3,1,12,6*,6.00,40,30.0,0,0,0,1,0,
41,WA Young (NZ),2021-2021,2,2,1,12,11*,12.00,13,92.3,0,0,0,2,0,
42,FJ Klaassen (NED),2021-2022,6,4,0,11,7,2.75,25,44.0,0,0,2,0,0,
43,KV Morea (PNG),2021-2021,4,3,2,11,9*,11.00,22,50.0,0,0,0,1,0,
44,A Nortje (SA),2020-2021,8,2,1,11,10,11.00,9,122.22,0,0,0,1,0,
45,VJ Kingma (NED),2021-2022,7,4,1,10,9*,3.33,22,45.45,0,0,2,0,1,
46,WD Parnell (SA),2021-2021,1,1,0,10,10,10.00,16,62.5,0,0,0,0,0,
47,KS Airee (NEPAL),2020-2020,1,1,1,9,9*,-,6,150.0,0,0,0,1,0,
48,S Dube (INDIA),2019-2019,1,1,0,9,9,9.00,6,150.0,0,0,0,1,0,
49,Khurram Nawaz (OMA),2019-2019,2,1,0,9,9,9.00,15,60.0,0,0,0,0,0,
0,CB Mpofu (ZIM),2020-2020,1,1,1,9,9*,-,8,112.5,0,0,0,0,0,
1,Muhammad Musa (PAK),2020-2020,2,1,1,9,9*,-,3,300.0,0,0,0,2,0,
2,T Shamsi (SA),2020-2022,16,2,2,9,9*,-,19,47.36,0,0,0,0,0,
3,M Shumba (ZIM),2021-2022,2,1,0,9,9,9.00,22,40.9,0,0,0,1,0,
4,TB Sole (SCOT),2019-2019,3,3,1,9,5*,4.50,14,64.28,0,0,0,1,0,
5,A Dananjaya (SL),2019-2021,5,4,1,8,5*,2.66,7,114.28,0,0,2,1,0,
6,R Klein (NED),2022-2022,1,1,1,8,8*,-,9,88.88,0,0,0,0,0,
7,Shafiul Islam (BAN),2019-2020,4,3,1,8,5*,4.00,19,42.1,0,0,0,0,0,
8,Shoriful Islam (BAN),2021-2021,4,3,1,8,8,4.00,7,114.28,0,0,1,0,1,
9,N Dickwella (SL),2021-2021,1,1,0,7,7,7.00,9,77.77,0,0,0,0,0,
10,N Pradeep (SL),2019-2022,11,7,6,7,5*,7.00,8,87.5,0,0,0,1,0,
11,P Jayawickrama (SL),2021-2021,5,3,2,7,4,7.00,12,58.33,0,0,0,1,0,
12,PWA Mulder (SA),2021-2021,2,2,1,7,5*,7.00,11,63.63,0,0,0,0,0,
13,MW Parkinson (ENG),2020-2021,5,1,1,7,7*,-,8,87.5,0,0,0,1,0,
14,N Rana (INDIA),2021-2021,1,1,0,7,7,7.00,14,50.0,0,0,0,0,0,
15,NA Rock (IRE),2022-2022,3,2,0,7,5,3.50,23,30.43,0,0,0,0,0,
16,JDF Vandersay (SL),2022-2022,3,2,1,7,4,7.00,11,63.63,0,0,0,0,0,
17,SL Malinga (SL),2019-2019,1,1,1,6,6*,-,6,100.0,0,0,0,0,0,
18,S Samarawickrama (SL),2019-2019,1,1,0,6,6,6.00,14,42.85,0,0,0,1,0,
19,PA van Meekeren (NED),2021-2021,2,2,1,6,6,6.00,13,46.15,0,0,0,0,0,
20,Badal Singh (OMA),2020-2020,2,1,0,5,5,5.00,12,41.66,0,0,0,0,0,
21,TA Boult (NZ),2020-2021,4,1,0,5,5,5.00,4,125.0,0,0,0,1,0,
22,AC Evans (SCOT),2019-2021,8,2,0,5,4,2.50,13,38.46,0,0,0,0,0,
23,JN Hamilton (WI),2021-2021,1,1,0,5,5,5.00,16,31.25,0,0,0,0,0,
24,Junaid Siddique (UAE),2019-2022,7,4,3,5,2*,5.00,17,29.41,0,0,0,0,0,
25,Muhammad Waseem (UAE),2022-2022,2,2,0,5,5,2.50,12,41.66,0,0,1,1,0,
26,A Nao (PNG),2019-2019,1,1,1,5,5*,-,3,166.66,0,0,0,1,0,
27,Zahoor Khan (UAE),2019-2022,6,3,1,5,4,2.50,11,45.45,0,0,1,1,0,
28,SA Abbott (AUS),2020-2020,1,1,0,4,4,4.00,9,44.44,0,0,0,0,0,
29,MD du Preez (NAM),2021-2021,1,1,0,4,4,4.00,14,28.57,0,0,0,0,0,
30,Z Groenewald (NAM),2019-2019,4,2,1,4,3,4.00,19,21.05,0,0,0,0,0,
31,BE Hendricks (SA),2020-2021,4,2,0,4,3,2.00,11,36.36,0,0,0,0,0,
32,Mohammad Nawaz (3) (PAK),2019-2021,2,1,0,4,4,4.00,10,40.0,0,0,0,0,0,
33,Sufyan Mehmood (OMA),2021-2021,1,1,0,4,4,4.00,16,25.0,0,0,0,0,0,
34,K Zondo (SA),2021-2021,1,1,0,4,4,4.00,7,57.14,0,0,0,0,0,
35,Bikram Sob (NEPAL),2021-2021,4,3,1,3,2,1.50,7,42.85,0,0,0,0,0,
36,DOD Rikhi (USA),2021-2021,2,2,0,3,3,1.50,14,21.42,0,0,1,0,0,
37,TG Southee (NZ),2020-2020,3,1,0,3,3,3.00,10,30.0,0,0,0,0,0,
38,TP Visee (NED),2021-2021,1,1,0,3,3,3.00,10,30.0,0,0,0,0,0,
39,C Floyd (NED),2022-2022,1,1,0,2,2,2.00,4,50.0,0,0,0,0,0,
40,K Gowtham (INDIA),2021-2021,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0,
41,Haris Rauf (PAK),2020-2021,8,4,3,2,1*,2.00,12,16.66,0,0,0,0,0,
42,R Hekure (PNG),2019-2019,1,1,0,2,2,2.00,8,25.0,0,0,0,0,0,
43,Ibrahim Zadran (AFG),2019-2019,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,
44,D Lakshan (SL),2021-2021,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,
45,M Prasidh Krishna (INDIA),2021-2022,5,2,1,2,2*,2.00,6,33.33,0,0,1,0,0,
46,C Viljoen (NAM),2019-2019,1,1,0,2,2,2.00,12,16.66,0,0,0,0,0,
47,J Yadav (INDIA),2022-2022,1,1,0,2,2,2.00,6,33.33,0,0,0,0,0,
48,MS Chapman (NZ),2020-2020,1,1,0,1,1,1.00,2,50.0,0,0,0,0,0,
49,LH Ferguson (NZ),2020-2020,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0,
