,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Unnamed: 11
0,KC Sangakkara (Asia/ICC/SL),2000-2015,386,386,494,395,99,376,19,5 (4ct 1st),1.279,
1,AC Gilchrist (AUS/ICC),1996-2008,280,280,467,412,55,412,0,6 (6ct 0st),1.667,
2,MS Dhoni (Asia/INDIA),2004-2019,335,335,434,313,121,313,0,6 (5ct 1st),1.295,
3,MV Boucher (Afr/SA),1998-2011,286,286,417,395,22,394,1,6 (6ct 0st),1.458,
4,Moin Khan (PAK),1990-2004,216,216,286,213,73,213,0,5 (5ct 0st),1.324,
5,BB McCullum (NZ),2002-2016,245,245,268,253,15,220,33,5 (5ct 0st),1.093,
6,IA Healy (AUS),1988-1997,167,167,232,193,39,193,0,4 (4ct 0st),1.389,
7,Mushfiqur Rahim (BAN),2006-2021,222,222,231,185,46,183,2,5 (5ct 0st),1.04,
8,Rashid Latif (PAK),1992-2003,163,163,220,182,38,182,0,5 (5ct 0st),1.349,
9,DPMD Jayawardene (Asia/SL),1998-2015,430,430,215,215,0,0,215,4 (4ct 0st),0.5,
10,JC Buttler (ENG),2012-2021,142,142,210,178,32,178,0,6 (6ct 0st),1.478,
11,RS Kaluwitharana (SL),1990-2004,184,184,206,131,75,130,1,5 (4ct 1st),1.119,
12,PJL Dujon (WI),1981-1991,166,166,203,182,21,182,0,4 (4ct 0st),1.222,
13,R Dravid (Asia/ICC/INDIA),1996-2011,327,327,202,188,14,70,118,4 (4ct 0st),0.617,
14,Kamran Akmal (PAK),2002-2017,153,153,186,155,31,154,1,5 (4ct 1st),1.215,
15,Q de Kock (SA),2013-2022,122,122,184,173,11,173,0,6 (5ct 1st),1.508,
16,RD Jacobs (WI),1996-2004,138,138,183,154,29,154,0,6 (5ct 1st),1.326,
17,D Ramdin (WI),2005-2016,133,133,181,175,6,175,0,5 (5ct 0st),1.36,
18,AB de Villiers (Afr/SA),2005-2018,221,221,180,175,5,93,82,5 (5ct 0st),0.814,
19,BJ Haddin (AUS),2001-2015,117,117,179,168,11,168,0,5 (5ct 0st),1.529,
20,A Flower (ZIM),1992-2003,207,207,171,140,31,132,8,5 (5ct 0st),0.826,
21,AJ Stewart (ENG),1989-2003,164,164,169,154,15,145,9,6 (6ct 0st),1.03,
